N,P,K,ph,temperature,humidity,rainfall,crop
90,62,52,6.59,30.1,57.57,125.51,Maize
79,40,45,6.9,17.9,56.64,76.33,Groundnut
101,54,52,7.24,22.45,69.36,140.31,Maize
157,78,99,6.79,31.45,75.43,212.15,Sugarcane
49,57,59,6.66,28.71,54.67,114.94,Groundnut
81,51,49,6.65,18.61,60.2,87.88,Wheat
92,64,46,6.1,32.19,63.0,90.64,Groundnut
103,42,54,6.83,20.45,53.83,89.46,Wheat
124,70,80,6.14,33.85,58.08,100.11,Cotton
65,44,43,6.72,12.43,57.02,54.54,Wheat
86,48,55,7.02,20.39,53.52,92.29,Wheat
106,67,50,6.2,22.27,72.97,119.24,Maize
162,76,97,7.28,28.67,80.76,241.51,Sugarcane
94,46,45,6.68,13.49,55.2,95.67,Wheat
165,77,66,6.84,31.03,76.76,256.87,Sugarcane
67,48,43,6.91,26.22,63.5,105.31,Groundnut
128,73,72,6.75,30.93,63.0,146.24,Cotton
65,54,62,6.83,14.91,52.43,115.4,Wheat
92,60,44,6.34,22.01,67.17,152.98,Maize
165,86,86,7.37,28.67,78.65,249.64,Sugarcane
116,52,64,6.85,30.17,89.61,209.59,Rice
85,45,59,6.64,18.83,55.78,58.58,Wheat
70,52,47,6.36,24.81,59.69,100.34,Groundnut
184,64,94,7.71,33.01,80.06,221.23,Sugarcane
71,55,56,6.67,23.71,57.27,117.06,Groundnut
152,77,101,7.22,31.98,80.85,260.96,Sugarcane
74,45,47,6.47,25.1,60.74,107.6,Groundnut
103,52,42,6.72,26.64,61.31,117.4,Maize
159,99,92,6.43,32.31,77.8,273.19,Sugarcane
86,46,54,6.71,28.6,73.06,132.47,Maize
113,52,53,6.45,26.82,62.09,82.12,Maize
153,84,89,7.11,31.1,64.58,276.37,Sugarcane
140,54,56,7.0,25.5,82.25,217.06,Rice
76,51,53,6.25,24.7,60.63,101.36,Groundnut
103,50,61,6.13,29.54,85.17,180.63,Rice
69,41,49,6.52,13.82,49.69,46.47,Barley
94,44,41,6.81,21.48,63.04,95.91,Wheat
176,83,100,7.15,29.63,84.19,264.43,Sugarcane
153,88,90,7.12,27.71,76.66,283.17,Sugarcane
45,44,50,6.91,13.87,44.89,48.17,Barley
80,67,53,7.15,28.41,67.24,128.28,Maize
119,65,62,6.72,31.69,59.87,97.59,Cotton
68,40,49,6.97,19.16,50.52,73.96,Barley
132,69,71,7.35,34.17,57.63,81.93,Cotton
70,54,36,6.64,13.46,45.4,108.65,Barley
115,59,59,5.88,32.48,85.21,228.86,Rice
148,92,97,7.17,30.73,74.54,238.63,Sugarcane
123,66,64,6.66,24.71,60.43,111.35,Cotton
79,59,57,6.64,26.79,64.67,126.76,Maize
102,29,61,6.84,25.88,65.42,141.47,Maize
136,67,70,6.76,27.91,64.77,108.32,Cotton
83,63,70,6.41,25.86,69.54,145.79,Maize
132,48,62,7.04,31.97,51.16,87.62,Cotton
150,80,83,6.67,26.4,80.88,247.15,Sugarcane
131,74,89,7.15,31.05,59.63,88.92,Cotton
81,39,48,6.54,20.72,57.03,78.6,Wheat
151,95,94,7.23,28.45,80.09,219.51,Sugarcane
60,44,49,6.78,26.86,61.87,117.46,Groundnut
125,78,69,7.27,34.03,63.05,129.58,Cotton
88,56,54,6.97,22.16,49.4,70.54,Wheat
69,53,46,6.38,16.54,45.24,55.26,Barley
150,84,90,7.42,30.4,67.81,240.07,Sugarcane
121,56,61,6.72,24.92,85.66,206.0,Rice
113,60,64,6.18,28.56,81.22,207.77,Rice
96,60,43,6.25,23.79,65.28,133.1,Maize
117,82,68,5.93,32.6,62.77,101.57,Cotton
66,49,43,6.62,25.13,65.08,98.43,Maize
105,44,67,6.5,21.25,51.39,62.58,Wheat
71,54,42,6.05,25.88,56.51,64.94,Groundnut
117,70,66,6.83,32.08,57.64,114.93,Cotton
93,58,52,6.52,29.06,69.56,129.0,Maize
84,39,46,6.73,18.81,56.25,63.44,Wheat
81,51,38,6.32,14.5,48.73,83.64,Barley
141,68,47,6.25,31.8,81.46,228.88,Rice
135,71,87,6.9,33.15,59.53,110.98,Cotton
99,56,40,6.27,27.12,70.7,128.99,Maize
98,55,43,7.0,15.49,46.95,72.66,Wheat
80,44,40,6.66,16.21,43.11,94.0,Wheat
146,81,85,7.05,25.64,80.2,248.06,Sugarcane
120,70,81,7.17,31.12,64.86,102.86,Cotton
58,41,61,6.38,22.39,59.76,97.14,Groundnut
59,45,42,7.17,15.95,53.49,59.42,Barley
116,65,70,7.2,34.15,58.16,117.2,Cotton
124,61,63,6.47,31.84,80.24,206.46,Rice
100,48,44,6.76,27.8,70.3,120.64,Maize
106,55,37,7.25,22.73,55.09,106.46,Wheat
55,43,47,6.26,22.14,46.52,52.85,Barley
71,47,49,6.66,27.42,56.95,116.17,Groundnut
166,82,92,7.55,29.61,74.53,235.26,Sugarcane
120,61,54,6.22,28.69,79.33,227.0,Rice
101,64,62,6.1,23.41,92.69,248.28,Rice
128,65,74,7.45,30.86,67.88,80.63,Cotton
99,44,52,6.77,28.19,70.57,160.2,Maize
100,60,65,6.94,25.12,60.06,133.63,Maize
60,53,43,6.34,12.76,46.04,112.91,Barley
118,69,58,6.46,26.91,66.58,139.2,Maize
98,53,45,6.48,31.59,69.92,129.13,Maize
56,47,49,5.87,24.25,56.42,62.79,Groundnut
122,63,46,6.24,27.24,86.28,243.87,Rice
181,74,78,7.13,29.23,79.74,239.47,Sugarcane
98,53,45,6.42,26.73,70.53,127.6,Maize
95,51,69,6.14,25.69,66.69,120.4,Maize
100,51,45,6.68,23.23,67.59,178.56,Maize
61,59,50,6.69,20.44,50.91,74.58,Barley
156,89,96,7.73,25.29,78.51,273.04,Sugarcane
150,85,81,6.83,29.97,79.86,244.04,Sugarcane
76,48,46,7.01,15.01,56.47,56.75,Barley
94,44,38,6.52,15.75,57.61,103.04,Wheat
170,88,88,7.69,29.69,72.53,256.67,Sugarcane
141,37,58,6.92,28.37,88.77,222.0,Rice
140,68,77,6.16,35.33,53.55,88.54,Cotton
80,54,64,6.92,26.13,54.24,94.22,Groundnut
61,47,53,6.67,16.45,49.66,75.31,Barley
100,52,66,6.73,26.06,62.76,137.62,Maize
151,87,73,7.07,29.06,65.04,283.85,Sugarcane
85,64,53,6.85,23.96,43.32,63.69,Wheat
89,61,45,6.58,25.41,65.51,132.08,Maize
119,67,75,6.56,35.47,58.23,153.42,Cotton
60,40,41,6.91,14.12,48.1,82.86,Barley
146,95,86,7.3,33.37,78.87,252.99,Sugarcane
115,54,45,6.41,27.84,88.27,221.38,Rice
103,61,43,7.02,22.83,69.4,154.94,Maize
106,57,60,5.85,32.17,85.71,227.63,Rice
131,61,68,6.73,26.31,80.92,221.56,Rice
80,58,35,6.76,19.83,56.71,65.65,Wheat
90,69,52,6.73,19.63,59.96,112.91,Maize
117,54,52,6.38,21.32,68.31,137.89,Maize
173,71,84,6.4,31.11,70.53,261.98,Sugarcane
124,71,62,6.31,28.0,78.75,232.09,Rice
66,52,38,6.09,29.38,52.07,96.05,Groundnut
61,58,32,6.4,22.36,64.4,94.7,Groundnut
129,67,66,6.21,25.88,78.53,221.68,Rice
58,52,36,5.64,32.48,65.23,99.93,Groundnut
99,51,49,6.72,17.37,58.04,87.34,Wheat
76,49,47,6.64,28.78,63.44,98.35,Groundnut
83,46,42,6.75,13.84,49.24,85.79,Barley
123,61,76,7.18,32.09,56.99,71.99,Cotton
81,51,43,6.81,20.25,54.73,72.18,Wheat
102,50,42,6.53,21.95,57.56,139.59,Maize
77,56,40,6.61,18.42,54.12,105.58,Barley
146,81,65,7.1,33.65,59.78,113.54,Cotton
115,59,60,6.35,26.0,68.14,143.06,Maize
91,60,49,6.12,27.82,61.85,148.51,Maize
110,76,70,6.75,33.51,58.07,110.58,Cotton
39,33,55,6.41,26.56,71.81,99.31,Groundnut
66,45,59,5.85,28.63,66.93,88.43,Groundnut
94,50,48,6.77,15.4,54.92,68.31,Wheat
154,84,84,7.53,26.89,58.56,234.44,Sugarcane
149,75,78,6.92,31.54,79.33,234.61,Sugarcane
62,53,44,6.66,32.59,48.89,110.41,Groundnut
71,49,40,6.44,17.16,53.85,55.35,Barley
65,45,47,6.33,24.31,64.2,128.24,Groundnut
117,73,62,7.02,35.39,61.84,139.37,Cotton
104,54,60,7.04,18.54,47.47,74.76,Wheat
165,87,97,7.67,34.52,73.33,272.18,Sugarcane
66,50,56,6.49,16.32,48.15,48.86,Barley
90,45,52,7.13,15.89,47.33,94.06,Wheat
159,91,99,6.92,34.23,73.4,243.44,Sugarcane
130,48,52,6.55,29.54,87.58,297.05,Rice
93,56,46,6.43,28.34,58.35,107.88,Groundnut
91,54,51,6.37,29.56,58.44,149.33,Maize
124,70,69,6.25,28.35,59.16,106.54,Cotton
120,56,55,6.08,26.71,74.4,205.28,Rice
99,38,57,6.69,14.3,57.9,98.58,Wheat
84,45,60,6.42,16.0,52.19,79.69,Wheat
91,51,60,6.16,24.6,67.99,157.51,Maize
107,49,58,6.88,21.82,59.89,139.78,Maize
68,31,45,7.14,15.99,46.75,59.11,Barley
76,47,34,6.57,26.7,60.75,97.87,Groundnut
75,49,35,6.55,17.94,39.22,76.47,Barley
55,37,46,6.57,11.66,48.25,79.01,Barley
96,54,72,6.73,23.2,65.14,146.65,Maize
65,43,52,6.46,13.66,40.77,76.51,Barley
152,66,73,6.96,32.13,68.05,225.29,Sugarcane
124,58,65,6.86,27.3,83.83,251.58,Rice
99,50,39,6.2,28.12,69.07,135.79,Maize
92,48,58,6.45,26.98,57.55,138.15,Maize
109,52,53,6.1,32.21,77.14,124.39,Maize
81,55,48,6.68,15.56,51.15,86.4,Wheat
78,51,62,6.37,23.85,62.92,99.8,Maize
96,50,60,6.67,23.46,75.28,176.29,Maize
60,45,62,6.38,32.84,67.41,122.62,Groundnut
128,72,37,6.53,23.72,87.5,222.56,Rice
47,41,51,6.15,10.72,42.83,15.38,Barley
128,59,69,5.99,29.56,94.34,228.39,Rice
123,77,90,7.23,31.92,66.3,144.26,Cotton
118,72,63,7.26,35.73,68.21,115.62,Cotton
92,39,50,6.92,17.54,58.57,81.98,Wheat
113,61,46,6.24,24.72,85.68,239.89,Rice
137,54,79,6.9,35.9,46.26,61.28,Cotton
67,52,42,6.65,9.85,61.4,76.13,Barley
151,72,97,6.75,30.28,68.25,275.39,Sugarcane
113,53,55,6.74,28.04,84.1,217.8,Rice
157,85,83,6.66,31.92,71.21,286.56,Sugarcane
93,47,48,7.15,15.93,58.88,110.23,Wheat
61,57,52,6.21,31.77,61.53,135.55,Groundnut
125,67,68,6.74,33.99,55.95,128.2,Cotton
117,60,48,6.31,27.85,98.1,197.76,Rice
94,58,50,6.69,24.94,58.84,134.62,Maize
95,46,50,6.63,18.45,62.7,99.37,Wheat
174,85,87,7.26,37.55,75.38,269.22,Sugarcane
91,62,55,6.43,24.57,70.03,172.07,Maize
92,43,45,6.83,16.12,49.46,104.03,Wheat
113,71,57,6.49,28.78,84.33,236.22,Rice
138,77,75,6.75,27.9,62.95,85.72,Cotton
71,48,43,6.3,20.78,53.92,86.48,Groundnut
142,55,75,7.35,34.45,61.99,100.73,Cotton
119,66,51,6.39,26.13,88.73,220.63,Rice
154,79,94,7.28,32.28,67.59,275.28,Sugarcane
101,49,49,6.32,25.78,68.92,139.99,Maize
80,39,48,6.51,17.84,58.44,99.91,Wheat
161,72,91,6.58,28.87,81.68,270.51,Sugarcane
55,41,47,6.42,32.15,54.74,79.98,Groundnut
155,68,86,6.69,26.67,76.21,288.39,Sugarcane
78,59,61,6.47,24.9,53.72,53.66,Groundnut
89,46,52,7.27,18.72,65.83,62.04,Wheat
104,52,67,6.11,27.33,87.75,200.63,Rice
115,51,58,6.31,30.34,91.55,247.91,Rice
75,57,46,6.18,31.96,65.1,115.04,Groundnut
92,49,39,7.06,20.23,51.62,94.15,Wheat
169,86,81,7.55,31.04,81.88,251.04,Sugarcane
59,50,43,6.36,23.66,55.22,141.21,Groundnut
153,72,98,6.3,27.99,68.02,271.22,Sugarcane
78,48,45,7.08,11.28,47.78,77.85,Wheat
119,62,61,6.61,26.69,87.57,214.81,Rice
90,64,40,6.33,14.64,60.95,115.12,Wheat
61,47,56,6.31,31.6,59.25,137.66,Groundnut
80,53,44,6.03,24.9,59.67,99.5,Groundnut
123,71,66,6.35,27.94,79.99,219.63,Rice
121,51,62,6.26,31.14,88.87,210.09,Rice
173,86,88,7.07,28.31,78.58,261.8,Sugarcane
135,81,68,6.68,31.68,64.52,132.59,Cotton
108,68,59,6.28,27.75,64.81,93.04,Maize
106,45,52,6.68,27.45,69.94,138.05,Maize
131,63,66,7.31,38.25,61.6,98.67,Cotton
75,38,46,7.23,18.21,56.45,85.56,Wheat
132,55,40,6.28,30.74,87.69,228.56,Rice
102,62,46,6.81,29.21,66.45,123.86,Maize
147,78,99,6.87,25.33,64.42,263.33,Sugarcane
170,72,75,7.03,27.78,75.61,231.73,Sugarcane
136,68,88,6.97,36.2,57.89,131.36,Cotton
61,63,33,6.4,16.48,43.69,55.84,Barley
133,54,54,7.04,30.93,73.07,208.69,Rice
118,58,59,6.18,24.84,61.34,118.69,Maize
140,61,85,6.42,32.19,74.89,278.02,Sugarcane
90,52,59,6.75,25.34,64.54,93.35,Groundnut
75,39,41,6.68,13.99,45.31,57.29,Wheat
157,85,91,7.56,28.56,72.16,274.74,Sugarcane
97,58,39,7.13,21.13,50.31,111.97,Wheat
104,38,63,6.37,26.46,86.22,218.79,Rice
105,67,61,6.98,25.32,61.95,142.31,Maize
62,49,59,6.29,28.07,56.71,76.67,Groundnut
129,79,75,6.88,38.28,56.31,122.08,Cotton
109,58,52,6.28,31.05,85.54,272.14,Rice
46,47,47,6.45,17.04,47.47,53.59,Barley
126,59,52,6.42,25.97,89.88,217.06,Rice
54,48,41,6.64,14.08,43.16,65.43,Barley
134,55,45,6.7,25.95,88.95,180.6,Rice
84,56,49,6.64,34.56,56.34,109.43,Groundnut
147,83,94,6.99,26.69,75.12,259.23,Sugarcane
111,66,47,6.21,29.79,81.83,215.28,Rice
96,64,50,7.0,20.96,63.26,155.71,Maize
126,68,64,6.96,32.55,56.77,99.84,Cotton
86,57,41,6.82,12.53,49.56,87.64,Wheat
164,70,77,7.23,29.84,73.32,266.93,Sugarcane
121,60,60,6.21,27.83,90.64,222.28,Rice
60,42,57,6.64,15.91,47.57,85.48,Barley
126,73,81,7.32,33.29,60.85,79.63,Cotton
114,45,54,7.38,20.37,53.5,78.66,Wheat
104,57,48,6.79,28.98,61.06,150.64,Maize
105,51,38,6.91,18.73,51.98,91.47,Wheat
145,76,81,7.34,30.99,76.66,269.54,Sugarcane
65,55,45,6.31,9.67,53.37,56.85,Barley
123,71,64,6.74,27.51,57.75,119.88,Cotton
128,78,57,6.63,35.86,57.82,67.08,Cotton
90,52,49,6.38,19.54,64.61,88.18,Wheat
74,56,59,6.45,27.22,54.6,105.45,Groundnut
89,52,47,6.92,20.46,60.01,113.72,Wheat
98,53,50,7.0,16.36,47.93,94.46,Wheat
56,51,38,6.59,18.07,50.7,73.33,Barley
80,59,39,5.78,26.04,59.02,105.17,Groundnut
105,67,50,6.19,22.59,60.67,144.05,Maize
112,59,61,6.87,25.0,89.92,215.72,Rice
159,76,80,7.67,30.22,73.42,292.43,Sugarcane
57,53,39,6.53,30.1,59.69,87.89,Groundnut
97,45,65,6.84,14.35,53.73,55.93,Wheat
174,80,93,7.31,28.45,72.44,250.83,Sugarcane
133,77,57,7.45,35.47,62.57,128.48,Cotton
69,59,56,6.55,27.36,57.55,107.92,Groundnut
124,69,76,6.91,33.59,62.38,103.62,Cotton
82,50,33,6.81,17.09,49.33,58.08,Barley
72,53,47,6.34,28.82,54.59,103.68,Groundnut
155,86,97,7.14,32.95,78.44,241.66,Sugarcane
128,67,54,6.93,30.98,61.25,119.83,Cotton
153,74,91,7.37,30.59,64.05,265.2,Sugarcane
121,65,63,6.47,25.63,87.36,257.64,Rice
83,54,44,6.87,17.7,56.07,70.81,Wheat
156,79,100,6.68,31.94,74.02,277.37,Sugarcane
88,57,41,6.68,19.6,70.76,133.57,Maize
128,46,52,5.86,27.18,84.77,222.28,Rice
165,78,105,7.25,28.66,73.21,247.13,Sugarcane
115,60,71,6.31,31.22,92.14,248.69,Rice
131,57,75,6.67,32.55,63.43,120.93,Cotton
94,49,43,7.13,18.42,57.18,45.5,Wheat
126,51,63,6.57,31.16,48.6,113.82,Cotton
60,44,52,6.7,17.62,53.57,66.84,Barley
109,44,54,6.22,28.33,63.33,137.31,Maize
145,71,84,7.59,30.19,84.11,262.55,Sugarcane
171,78,93,6.84,33.79,76.75,246.41,Sugarcane
121,76,66,6.69,38.0,53.22,60.94,Cotton
112,57,44,6.46,28.0,80.91,233.18,Rice
94,56,46,6.95,17.01,58.6,83.39,Wheat
58,53,29,6.94,18.07,40.06,72.07,Barley
123,64,50,6.29,26.18,82.57,238.87,Rice
126,55,57,6.58,28.12,61.33,148.76,Cotton
96,62,63,7.02,28.47,89.1,216.09,Rice
62,52,42,6.92,10.0,51.42,60.78,Barley
127,58,63,7.13,35.77,54.84,132.84,Cotton
67,51,42,6.14,17.44,44.06,57.75,Barley
82,52,54,6.54,17.78,54.22,68.97,Wheat
102,68,45,6.47,30.66,77.74,201.51,Rice
136,64,94,6.74,32.32,57.99,100.22,Cotton
158,79,102,7.42,33.67,87.93,260.95,Sugarcane
73,44,41,6.38,17.06,44.98,73.19,Barley
113,53,51,5.96,28.09,73.27,127.26,Maize
111,62,69,6.22,34.29,82.37,220.65,Rice
123,53,65,6.26,31.29,67.34,91.89,Cotton
103,60,50,6.55,26.8,71.43,155.09,Maize
110,64,66,6.45,31.46,78.91,229.36,Rice
127,69,60,6.46,26.81,63.29,85.89,Cotton
62,45,46,5.98,31.02,65.82,91.97,Groundnut
71,33,52,5.89,30.25,66.69,130.21,Groundnut
76,55,54,6.16,18.9,51.02,100.27,Groundnut
60,53,38,6.22,30.21,57.54,69.17,Groundnut
134,61,60,6.89,23.71,78.57,187.68,Rice
121,48,54,6.26,24.95,89.3,236.21,Rice
118,56,44,6.62,24.78,86.2,261.48,Rice
139,48,77,6.73,30.76,68.58,114.27,Cotton
189,77,84,6.59,32.88,78.65,281.04,Sugarcane
102,54,53,6.75,28.12,63.63,116.89,Maize
62,65,42,6.43,24.18,53.03,83.69,Groundnut
75,47,53,6.51,15.83,42.56,64.61,Barley
55,59,52,6.31,25.54,57.97,94.05,Groundnut
115,60,57,5.8,26.83,83.47,232.67,Rice
83,49,52,6.62,26.3,55.25,88.59,Groundnut
123,53,51,5.78,31.67,83.0,223.14,Rice
65,41,42,6.47,17.29,49.64,81.98,Barley
62,46,30,6.84,18.82,49.24,52.06,Barley
86,45,59,6.56,27.76,63.21,155.81,Maize
145,90,81,6.71,26.56,80.43,236.09,Sugarcane
76,54,43,5.27,26.67,59.11,103.28,Groundnut
175,90,96,7.2,33.46,64.95,269.8,Sugarcane
131,82,68,7.09,32.18,59.45,105.34,Cotton
66,47,34,6.5,22.47,52.75,93.93,Groundnut
170,83,76,6.6,33.44,80.41,262.72,Sugarcane
128,63,63,5.93,28.15,87.4,234.58,Rice
127,67,74,7.38,27.82,52.78,115.32,Cotton
122,76,66,6.3,31.6,82.96,179.24,Rice
96,58,54,7.37,22.91,57.21,63.23,Wheat
119,50,54,6.41,25.42,83.08,240.13,Rice
126,61,71,7.58,33.24,61.35,96.67,Cotton
72,40,47,6.2,16.49,50.19,93.8,Barley
78,55,48,6.08,26.02,60.3,113.32,Groundnut
78,58,56,6.71,27.58,60.78,85.92,Groundnut
48,37,34,7.01,13.89,53.14,113.44,Barley
126,69,51,7.32,28.28,59.07,120.68,Cotton
129,73,65,6.85,33.3,56.52,105.53,Cotton
103,47,61,6.66,26.53,62.84,131.87,Maize
142,80,66,6.99,32.23,63.3,104.22,Cotton
65,43,34,6.49,26.2,58.06,103.65,Groundnut
119,56,67,6.22,27.4,92.0,250.78,Rice
153,62,80,7.48,32.64,74.54,253.25,Sugarcane
77,61,38,7.08,13.45,58.01,117.24,Wheat
96,47,46,6.58,32.91,67.7,108.12,Maize
138,89,91,7.05,27.54,71.84,232.18,Sugarcane
132,69,71,7.38,39.27,59.08,120.86,Cotton
120,63,56,6.94,26.65,61.97,137.17,Cotton
59,32,56,7.26,17.23,46.85,47.23,Barley
70,45,50,5.69,24.29,56.26,79.59,Groundnut
60,46,47,5.98,25.84,52.74,111.82,Groundnut
47,32,44,7.24,21.63,48.48,50.97,Barley
115,61,63,6.61,31.53,87.04,192.49,Rice
115,53,63,6.53,24.17,61.12,118.06,Maize
134,87,72,6.73,29.7,58.22,98.57,Cotton
166,93,82,6.83,26.46,73.73,251.04,Sugarcane
126,82,90,6.93,33.36,60.28,135.68,Cotton
88,57,53,6.54,14.04,54.21,69.52,Wheat
66,48,48,6.73,21.6,62.24,121.76,Groundnut
74,33,35,6.7,9.67,51.43,91.13,Barley
71,40,55,5.77,27.92,58.62,91.21,Groundnut
161,78,86,7.4,31.64,66.31,236.08,Sugarcane
89,50,55,6.57,24.5,68.93,151.81,Maize
99,60,64,6.1,22.65,63.43,203.18,Maize
121,72,67,7.54,27.47,71.19,137.61,Cotton
95,65,69,6.12,22.99,64.28,96.58,Maize
168,72,98,6.85,28.75,79.48,260.09,Sugarcane
176,82,86,7.01,27.71,69.91,222.21,Sugarcane
52,42,50,6.48,21.65,35.6,65.04,Barley
84,47,57,6.34,25.35,64.48,126.35,Maize
101,49,66,6.67,23.99,50.13,90.35,Wheat
57,45,48,6.39,12.97,50.58,53.18,Barley
73,52,46,6.22,24.51,62.53,72.84,Groundnut
128,79,60,7.24,30.24,55.72,109.36,Cotton
75,37,44,6.37,18.5,48.93,68.15,Barley
131,57,51,7.17,28.18,85.07,219.52,Rice
93,41,44,6.54,15.83,53.38,74.67,Wheat
164,73,85,7.36,28.17,79.12,235.35,Sugarcane
145,68,67,6.48,33.26,54.13,118.85,Cotton
124,46,55,6.3,33.02,83.63,175.98,Rice
99,54,47,6.51,29.96,65.78,109.85,Maize
66,52,48,6.42,19.19,53.14,97.74,Barley
95,51,57,6.45,26.96,72.81,130.44,Maize
171,86,81,7.07,27.44,77.89,286.0,Sugarcane
172,84,96,6.81,31.07,71.67,252.98,Sugarcane
76,45,46,6.0,25.85,59.0,93.63,Groundnut
68,42,61,6.66,14.57,48.67,55.54,Barley
150,70,63,6.56,34.78,56.76,117.6,Cotton
103,56,61,6.35,20.42,69.96,121.28,Maize
75,56,55,6.36,27.79,63.51,71.01,Groundnut
104,61,56,6.35,24.69,66.1,140.98,Maize
97,61,75,6.29,27.32,86.48,208.82,Rice
138,78,100,7.47,30.5,71.31,241.65,Sugarcane
162,88,94,7.39,31.93,79.69,204.78,Sugarcane
61,49,44,5.8,28.68,64.33,94.99,Groundnut
111,85,74,6.97,35.75,61.24,94.03,Cotton
146,74,90,6.59,26.55,69.99,251.58,Sugarcane
90,44,49,6.86,21.1,50.57,74.74,Wheat
53,29,55,6.2,32.15,65.21,111.78,Groundnut
135,57,69,6.12,25.28,73.25,253.46,Rice
52,38,53,6.56,10.07,56.0,66.51,Barley
76,43,60,6.74,21.56,54.25,60.65,Wheat
123,73,74,7.22,31.73,52.97,123.39,Cotton
137,61,84,6.81,35.93,50.95,124.63,Cotton
101,50,64,7.0,29.79,72.21,132.83,Maize
65,47,48,6.37,25.62,65.24,61.24,Groundnut
74,52,57,7.06,10.85,53.77,57.96,Wheat
61,53,47,6.04,26.17,56.7,113.17,Groundnut
143,76,64,7.32,32.38,65.3,136.54,Cotton
171,85,85,7.17,30.9,74.29,246.94,Sugarcane
