N,P,K,ph,moisture,fertility
28,72,101,5.48,31.07,Medium
29,74,203,7.25,49.83,Medium
122,117,197,8.07,53.28,Low
56,61,84,7.03,14.9,High
10,65,150,5.89,56.49,Medium
99,96,58,6.43,46.96,High
73,34,131,7.51,67.93,Medium
47,131,179,4.77,25.55,Low
46,119,138,5.37,23.65,Low
135,10,70,6.35,65.53,Medium
109,22,141,6.92,59.27,Low
86,14,200,5.86,65.42,Medium
12,96,113,5.69,64.74,Medium
19,143,27,4.67,17.28,Low
14,81,111,4.63,29.5,Low
139,105,175,5.61,28.21,Low
22,88,55,6.62,75.42,High
139,56,76,6.73,44.12,High
93,35,107,6.48,17.77,High
74,114,157,6.14,30.27,Medium
72,97,84,5.51,71.03,High
110,57,167,6.1,69.29,Medium
82,90,149,5.06,73.02,Medium
26,6,22,4.96,37.2,Low
18,90,159,5.7,54.89,Medium
47,137,147,8.48,29.47,Low
103,8,85,5.81,22.66,Low
104,10,111,8.25,11.53,Low
58,122,73,6.07,25.64,Medium
78,93,84,6.26,52.31,High
71,18,147,7.69,73.29,Low
87,60,46,4.87,19.34,Medium
126,85,38,5.23,74.26,Medium
129,50,52,8.4,34.18,Medium
85,20,140,6.52,39.88,Medium
44,124,142,4.68,35.55,Low
10,88,9,4.69,38.6,Low
49,12,120,8.13,28.14,Low
73,92,180,7.99,58.9,Low
69,135,121,6.33,63.07,Medium
73,23,158,5.15,67.62,Low
102,101,112,7.82,33.89,Low
81,70,27,5.8,63.52,High
20,83,66,6.18,54.64,High
114,90,17,7.23,77.05,Medium
23,128,141,5.91,39.73,Low
69,50,24,7.01,79.46,High
39,117,96,8.04,61.83,Low
44,95,112,7.69,64.34,Medium
14,37,189,6.03,11.8,Low
92,137,156,5.65,44.82,Medium
132,81,112,5.64,46.98,High
87,125,37,5.89,12.84,Medium
71,132,152,6.47,31.85,Medium
98,82,192,6.17,76.9,High
51,71,180,5.03,39.83,Medium
98,119,68,5.15,23.07,Low
49,67,34,5.87,45.93,High
81,117,112,6.75,12.36,Medium
48,98,77,6.87,46.12,High
113,52,113,6.44,51.6,High
23,16,149,7.46,35.04,Low
41,44,104,7.45,63.38,High
134,89,18,6.21,19.5,Low
106,61,23,5.0,71.47,Low
32,91,75,6.62,76.88,Medium
72,88,63,6.03,10.09,High
62,125,199,5.05,68.99,Low
113,78,101,8.43,45.43,Medium
113,111,48,5.98,42.3,Medium
48,128,164,7.0,26.71,Low
76,104,115,6.46,41.31,High
51,47,15,5.07,76.53,Medium
24,123,110,4.72,24.76,Low
120,27,6,7.0,22.53,Low
42,41,129,5.49,26.93,Low
47,138,200,5.47,48.63,Low
106,69,149,8.33,75.12,Low
42,138,98,6.35,50.17,High
95,26,172,4.62,27.04,Low
75,109,178,5.86,40.83,Medium
19,92,97,6.84,37.33,Medium
14,129,8,5.81,13.26,Low
132,83,170,4.61,45.74,Low
83,94,67,6.28,18.82,Medium
106,55,33,4.92,68.96,Medium
127,106,23,6.98,48.43,Low
47,110,95,6.98,69.12,High
56,64,33,4.65,76.92,High
118,50,167,5.66,76.02,Medium
24,40,120,6.15,17.03,Medium
14,15,74,6.7,76.14,Medium
56,16,127,5.68,65.7,Medium
77,43,27,5.65,64.44,High
85,143,50,8.43,16.31,Low
139,40,176,4.67,22.57,Low
104,56,180,8.46,78.26,Low
124,35,184,4.69,24.94,Low
45,37,12,5.65,21.83,Medium
35,62,187,6.47,35.36,Medium
52,132,70,5.07,73.93,Medium
36,35,172,5.04,43.33,Low
78,59,163,5.53,74.44,High
20,14,180,8.39,33.4,Low
83,134,104,6.02,25.86,Medium
113,19,65,6.76,44.66,Medium
47,7,116,7.32,53.08,High
32,47,56,7.47,37.4,High
56,71,170,7.25,34.22,High
99,60,40,5.85,25.26,High
55,67,116,4.95,29.25,Medium
116,19,91,5.63,57.12,Medium
113,113,187,5.34,35.89,Low
120,120,89,5.05,15.58,Low
113,96,17,4.6,19.67,Low
69,142,169,8.24,36.07,Low
109,51,51,8.18,74.72,Medium
77,61,94,4.7,36.53,High
129,54,203,5.19,14.24,Low
46,75,26,5.06,39.26,Medium
81,86,171,5.62,56.82,High
136,120,62,5.32,51.55,Low
115,109,34,8.28,29.52,Low
101,92,150,4.84,58.17,Low
40,6,110,5.35,54.14,Medium
131,108,150,4.82,22.05,Low
60,88,78,8.42,21.35,Medium
38,47,171,8.17,48.3,Low
49,75,98,7.37,56.16,High
50,98,158,6.2,77.33,Medium
20,46,75,5.26,39.54,Medium
10,137,11,5.39,63.55,Low
55,143,201,6.27,18.16,Low
